date,daily_return,close_price,news_date,avg_sentiment,article_count,avg_subjectivity,forward_filled
2019-11-25,0.8762321885428692,64.89044189453125,2019-11-25,-0.14166666666666666,2,0.20833333333333334,False
2019-11-26,0.5249773083199738,65.2311019897461,2019-11-26,-0.049999999999999996,4,0.1875,False
2019-12-02,-1.1525114200407582,64.05764770507812,2019-11-30,0.0,1,0.0,True
2019-12-02,-1.1525114200407582,64.05764770507812,2019-12-02,-0.1,2,0.05,False
2019-12-03,0.41552308887724543,64.32382202148438,2019-12-03,0.014141414141414142,11,0.22979797979797978,False
2019-12-04,1.9501362344817696,65.5782241821289,2019-12-04,0.11112689393939394,8,0.23507575757575758,False
2019-12-05,0.5747679387826388,65.95514678955078,2019-12-05,0.03333333333333333,1,0.13333333333333333,False
2019-12-06,0.9404186735883835,66.57540130615234,2019-12-06,0.175,2,0.275,False
2019-12-09,0.21931726985409128,66.7214126586914,2019-12-09,0.1875,2,0.4375,False
2019-12-10,0.08184959502288702,66.7760238647461,2019-12-10,-0.025925925925925925,2,0.20925925925925926,False
2019-12-11,0.026792446061207897,66.79391479492188,2019-12-11,0.08587662337662337,4,0.24816017316017316,False
2019-12-13,-0.18070346006962001,66.93346405029297,2019-12-13,-0.3,1,0.4,False
2019-12-16,0.9897410300551579,67.59593200683594,2019-12-16,0.0,3,0.0,False
2019-12-17,-0.44448412369663126,67.29547882080078,2019-12-17,0.0,1,0.0,False
2019-12-18,-0.1844895665838675,67.17132568359375,2019-12-18,0.019913419913419914,5,0.19867965367965368,False
2019-12-19,0.25285429359356293,67.34117126464844,2019-12-19,-0.10833333333333334,2,0.24791666666666667,False
2019-12-20,-0.47565626493365487,67.02085876464844,2019-12-20,0.0,2,0.25,False
2019-12-23,-0.05557479385985831,66.98361206054688,2019-12-21,0.0,1,0.0,True
2019-12-23,-0.05557479385985831,66.98361206054688,2019-12-23,-0.0018518518518518452,3,0.24629629629629632,False
2019-12-26,1.2533576572308691,67.55767059326172,2019-12-25,0.25,1,0.3333333333333333,True
2019-12-26,1.2533576572308691,67.55767059326172,2019-12-26,0.03125,4,0.15625,False
2019-12-27,-0.6255280257221996,67.13507843017578,2019-12-27,0.5,1,0.5,False
2019-12-30,-1.1650396288255926,66.3529281616211,2019-12-30,-0.03333333333333333,3,0.0,False
2019-12-31,0.065861708120174,66.3966293334961,2019-12-31,0.0,1,0.0,False
2020-01-02,2.2699864950563198,67.90382385253906,2020-01-02,0.25,2,0.3,False
2020-01-03,-0.4907480542768794,67.57058715820312,2020-01-03,-0.028125,2,0.12187500000000001,False
2020-01-06,2.465728429787828,69.2366943359375,2020-01-06,0.2916666666666667,3,0.4833333333333334,False
2020-01-07,-0.06240225886700035,69.19348907470703,2020-01-07,-0.1,1,0.1,False
2020-01-08,0.7880406587962518,69.73876190185547,2020-01-08,0.16666666666666666,1,0.6666666666666666,False
2020-01-09,1.1044439331835187,70.50898742675781,2020-01-09,-0.1,2,0.2,False
2020-01-10,0.6972810572538402,71.0006332397461,2020-01-10,-0.0625,2,0.1875,False
2020-01-13,0.6644391182432763,71.4723892211914,2020-01-13,0.0,1,0.0,False
2020-01-14,-0.5801647283542821,71.05773162841797,2020-01-14,0.08727272727272727,5,0.11090909090909092,False
2020-01-15,0.5814458497012787,71.47089385986328,2020-01-15,0.125,2,0.16666666666666666,False
