stock,date,avg_sentiment,sentiment_std,article_count,avg_subjectivity,news_date,forward_filled
GOOG,2019-01-22,0.13575757575757577,0.16446758579385637,5,0.2503030303030303,2019-01-22,False
GOOG,2019-01-23,0.0,0.0,2,0.0,2019-01-23,False
GOOG,2019-01-24,0.006249999999999999,0.13287682265918313,4,0.2375,2019-01-24,False
GOOG,2019-01-25,0.0,0.0,1,0.0,2019-01-25,False
GOOG,2019-01-28,0.37222222222222223,0.0,1,0.5944444444444444,2019-01-26,True
GOOG,2019-01-28,0.0,0.0,2,0.0,2019-01-28,False
GOOG,2019-01-29,0.0,0.0,1,0.1,2019-01-29,False
GOOG,2019-01-30,0.0,0.0,2,0.0,2019-01-30,False
GOOG,2019-01-31,0.0,0.0,3,0.3666666666666667,2019-01-31,False
GOOG,2019-02-01,0.125,0.1767766952966369,2,0.3333333333333333,2019-02-01,False
GOOG,2019-02-04,0.03951346801346801,0.14521325713049799,15,0.22443602693602693,2019-02-04,False
GOOG,2019-02-05,0.061111111111111116,0.16244657241348273,9,0.14444444444444446,2019-02-05,False
GOOG,2019-02-06,0.11071428571428571,0.15657364440559265,2,0.2488095238095238,2019-02-06,False
GOOG,2019-02-07,0.09166666666666667,0.15877132402714708,3,0.3333333333333333,2019-02-07,False
GOOG,2019-02-11,0.4,0.0,1,0.7,2019-02-11,False
GOOG,2019-02-12,-0.09090909090909091,0.22498852128662875,2,0.30113636363636365,2019-02-12,False
GOOG,2019-02-13,0.11212121212121212,0.0,1,0.4181818181818182,2019-02-13,False
GOOG,2019-02-14,-0.0033333333333333335,0.005773502691896258,3,0.020000000000000004,2019-02-14,False
GOOG,2019-02-15,0.1,0.14142135623730953,2,0.25,2019-02-15,False
GOOG,2019-02-19,0.20138888888888892,0.28480689797791503,2,0.36388888888888893,2019-02-19,False
GOOG,2019-02-20,-0.2,0.0,2,0.85,2019-02-20,False
GOOG,2019-02-21,0.05,0.11180339887498948,5,0.05769230769230769,2019-02-21,False
GOOG,2019-02-22,0.0,0.0,1,0.0,2019-02-22,False
GOOG,2019-02-25,-0.09375,0.0,1,0.2833333333333333,2019-02-23,True
GOOG,2019-02-25,-0.03181818181818183,0.0,1,0.42727272727272725,2019-02-25,False
GOOG,2019-02-26,0.05,0.07071067811865477,2,0.175,2019-02-26,False
GOOG,2019-02-27,0.0,0.0,1,0.0,2019-02-27,False
GOOG,2019-02-28,0.0,0.0,1,0.0,2019-02-28,False
GOOG,2019-03-01,-0.15,0.21213203435596426,2,0.75,2019-03-01,False
GOOG,2019-03-04,0.0,0.0,1,0.0,2019-03-04,False
GOOG,2019-03-05,0.0,0.0,1,0.1,2019-03-05,False
GOOG,2019-03-06,0.0,0.0,1,0.5,2019-03-06,False
GOOG,2019-03-07,0.0,0.0,1,0.0,2019-03-07,False
GOOG,2019-03-08,0.0,0.0,1,0.0,2019-03-08,False
GOOG,2019-03-11,0.21428571428571427,0.0,1,0.42857142857142855,2019-03-10,True
GOOG,2019-03-11,0.0,0.0,1,0.05,2019-03-11,False
GOOG,2019-03-12,0.0,0.0,1,0.25,2019-03-12,False
GOOG,2019-03-15,0.09444444444444444,0.13574213025411797,3,0.13333333333333333,2019-03-15,False
GOOG,2019-03-19,-0.17500000000000002,0.17078251276599332,4,0.25833333333333336,2019-03-19,False
GOOG,2019-03-20,0.07595238095238095,0.14627989613099174,4,0.3243452380952381,2019-03-20,False
GOOG,2019-03-21,0.08333333333333333,0.14433756729740646,3,0.3111111111111111,2019-03-21,False
GOOG,2019-03-26,0.08333333333333333,0.10408329997330665,3,0.13333333333333333,2019-03-26,False
GOOG,2019-03-27,0.019444444444444448,0.027498597046143523,2,0.6819444444444445,2019-03-27,False
GOOG,2019-03-28,0.0,0.0,2,0.0,2019-03-28,False
GOOG,2019-03-29,0.0,0.0,1,0.0,2019-03-29,False
GOOG,2019-04-01,0.0,0.0,1,0.0,2019-04-01,False
GOOG,2019-04-02,0.06818181818181818,0.09642365197998375,2,0.22727272727272727,2019-04-02,False
GOOG,2019-04-04,0.0,0.0,1,0.0,2019-04-04,False
GOOG,2019-04-05,0.0,0.0,1,0.0,2019-04-05,False
GOOG,2019-04-08,0.0,0.0,3,0.16666666666666666,2019-04-08,False
GOOG,2019-04-09,0.044393939393939395,0.10165639202021431,6,0.1967992424242424,2019-04-09,False
GOOG,2019-04-10,0.07954545454545454,0.1590909090909091,4,0.24431818181818182,2019-04-10,False
GOOG,2019-04-11,0.0,0.0,1,0.0,2019-04-11,False
GOOG,2019-04-15,0.0,0.0,1,0.0,2019-04-15,False
GOOG,2019-04-16,0.2,0.28284271247461906,2,0.2,2019-04-16,False
GOOG,2019-04-17,0.017045454545454544,0.024105912994995937,2,0.1568181818181818,2019-04-17,False
GOOG,2019-04-18,0.0,0.0,1,0.0,2019-04-18,False
GOOG,2019-04-22,-0.275,0.38890872965260115,2,0.425,2019-04-22,False
GOOG,2019-04-23,0.1625,0.19737865470545018,4,0.2583333333333333,2019-04-23,False
GOOG,2019-04-24,0.0,0.0,2,0.0,2019-04-24,False
GOOG,2019-04-26,0.0,0.0,1,0.0,2019-04-26,False
GOOG,2019-04-29,0.03333333333333333,0.11547005383792516,12,0.051388888888888894,2019-04-29,False
GOOG,2019-04-30,-0.015555555555555555,0.04919098582484146,10,0.053888888888888896,2019-04-30,False
GOOG,2019-05-01,0.045454545454545456,0.10163945352271771,5,0.1590909090909091,2019-05-01,False
GOOG,2019-05-02,0.2166666666666667,0.34237730973623565,5,0.24333333333333332,2019-05-02,False
GOOG,2019-05-03,-0.2,0.0,1,0.5,2019-05-03,False
GOOG,2019-05-06,0.5,0.0,1,0.5,2019-05-05,True
GOOG,2019-05-06,-0.03888888888888889,0.05499719409228703,2,0.08888888888888889,2019-05-06,False
GOOG,2019-05-07,0.0,0.0,3,0.0,2019-05-07,False
GOOG,2019-05-08,0.1,0.2,4,0.1625,2019-05-08,False
GOOG,2019-05-09,0.16666666666666666,0.0,1,0.16666666666666666,2019-05-09,False
GOOG,2019-05-10,-0.05,0.0,1,0.3,2019-05-10,False
GOOG,2019-05-14,0.2,0.0,1,0.6,2019-05-14,False
GOOG,2019-05-15,0.13084415584415585,0.10908780884844367,7,0.3236471861471862,2019-05-15,False
GOOG,2019-05-16,0.1875,0.2651650429449553,2,0.25,2019-05-16,False
GOOG,2019-05-17,0.0,0.0,3,0.08333333333333333,2019-05-17,False
GOOG,2019-05-20,0.0625,0.2651650429449553,2,0.4375,2019-05-20,False
GOOG,2019-05-21,0.0,0.0,3,0.0,2019-05-21,False
GOOG,2019-05-22,0.0,0.0,5,0.0,2019-05-22,False
GOOG,2019-05-23,-0.06666666666666667,0.11547005383792516,3,0.07111111111111111,2019-05-23,False
GOOG,2019-05-24,0.0,0.0,1,0.0,2019-05-24,False
GOOG,2019-05-28,0.0,0.0,1,0.0,2019-05-28,False
GOOG,2019-05-29,0.0,0.0,3,0.0,2019-05-29,False
GOOG,2019-05-30,0.0,0.0,1,0.0,2019-05-30,False
GOOG,2019-05-31,0.08333333333333334,0.023570226039551594,2,0.4,2019-05-31,False
